hotelName,stars,roomType,photoLink,seasons,extrabed,publishPrice,contractUntil
Solaris Hotel Kuta,3,Deluxe Room (ada connecting),,"{'normal': 450000, 'high': 650000, 'peak': 850000}",235000,"{'normal': nan, 'high': 50000.0, 'peak': 500000}",31-Mar-26
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Extrabed,"{'normal': nan, 'high': nan, 'peak': 'Normal Season'}",Batas Kontrak
Grand Livio,3,Superior Room,https://drive.google.com/drive/folders/12MGgb20-u8h0Jh2bdv9OefQWSIaexUQL,"{'normal': 415000, 'high': 615000, 'peak': 615000}",200000,"{'normal': nan, 'high': 50000.0, 'peak': 465000}",3/1/2026 0:00
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': 'Normal Season'}",
Boss Legian,3,Superior Room (ada connecting),https://drive.google.com/drive/folders/1I2SO98WbiCl9vGRWVyyhF0A45ltT7BDG?hl=id,"{'normal': 350000, 'high': 525000, 'peak': nan}",Campaign 01 April-30 September 2025,"{'normal': nan, 'high': 50000.0, 'peak': 400000}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Zia Kuta Hotel,3,Superior Room (ada connecting),https://drive.google.com/drive/folders/1HlOyyHrE8_XfwObO7G8W5OFv9rSqsNuO?usp=drive_link,"{'normal': 400000, 'high': 575000, 'peak': nan}",Campaign 01 April-30 September 2025,"{'normal': nan, 'high': 50000.0, 'peak': 550000}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': 'Normal Season'}",
Evitel Resort Ubud,3,Superior Room,https://drive.google.com/drive/folders/14VHuSTO3Q3WrYReiS_XIgcM9rj0cbHAZ,"{'normal': 600000, 'high': nan, 'peak': nan}",,"{'normal': nan, 'high': 80000.0, 'peak': 680000}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Stark Boutique Kuta Hotel,3,Superior Room,https://drive.google.com/drive/folders/1EDUshknFlDGHD1p3NfdRPAh3Kzg7M4s7?usp=sharing,"{'normal': 500000, 'high': 750000, 'peak': '-'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Legian Paradiso,3,Superior Room,https://tinyurl.com/legparfoto,"{'normal': 350000, 'high': 415000, 'peak': 175000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
Kutabex Beach Front Hotel,3,Superior Room,https://bit.ly/KutabexHotel,"{'normal': 550000, 'high': nan, 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Rofa Kuta Hotel,3,Superior Room,,"{'normal': 360000, 'high': nan, 'peak': 175000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Bloo Kuta Hotel,3,Superior,https://drive.google.com/drive/folders/1-PJFenjw1Fpc9uAA6Djw_TgS4kQZ3d6O,"{'normal': 450000, 'high': 650000, 'peak': 700000}",30 Desemer 2025,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Siesta Legian,3,Superior,https://drive.google.com/drive/folders/1iZeCDvHVu6HlUniaR2xW_CtkzAONZgYx?usp=sharing,"{'normal': 375000, 'high': 600000, 'peak': nan}",9/30/2025 0:00,"{'normal': nan, 'high': nan, 'peak': nan}",
Siesta Legian,3,Superior,,"{'normal': 450000, 'high': 675000, 'peak': 700000}",31-Mar-26,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Loft Legian,3,Superior,,"{'normal': 350000, 'high': 550000, 'peak': 650000}",3/31/2026 0:00,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Hotel Santika Kuta,3,Superior (Domestic),,"{'normal': 525000, 'high': 1025000, 'peak': 350000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Rhadana Kuta,3,Business Thematic,https://drive.google.com/drive/folders/1HSx1NBtfgsbKOuw14TvRUJynYMDu7VRO,"{'normal': 350000, 'high': 550000, 'peak': 550000}",20-Dec-25,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Euphoria Hotel,3,Superior Suite,https://drive.google.com/drive/folders/1W0tx3GWGfQmiytQgOjCG1A8qSflgx58b?usp=sharing,"{'normal': 325000, 'high': 525000, 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
Fave Sunset Seminyak ,3,Superior Suite,https://drive.google.com/drive/folders/17-wYRfNaSTjHaUQsLemZ8CV2IenG1iGI?usp=drive_link,"{'normal': 400000, 'high': 500000, 'peak': 650000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Villa,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Ecozy Dijiwa Canggu,3,Deluxe Room,https://drive.google.com/drive/folders/1frQpnhXVyy4jOfzb_qKniWtN4oneUtFm,"{'normal': 1100000, 'high': 1350000, 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Ecozy Dijiwa Canggu,3,Deluxe Room,,"{'normal': 1200000, 'high': 1450000, 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
TAPA AGUNG VIEW RENDANG KARANGASEM,3,Standard Room with Garden View (11) ,,"{'normal': 750000, 'high': 1150000, 'peak': 2250000}",450000,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
Swissbell Express Kuta,3,Express Room ,,"{'normal': 450000, 'high': 650000, 'peak': 650000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Three Brother Villa Legian,3,Standard Room,700000,"{'normal': 800000, 'high': 900000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Kubu Sakian Sidemen Karangasem,3,Deluxe Pool,800000,"{'normal': 900000, 'high': 1000000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Dikubu Bali Villa and Suites Seminyak ,3,Deluxe room,500000,"{'normal': 600000, 'high': 700000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama  Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
The Dewi Kintamani,3,Standard Tent (Weekdays)  ,500000,"{'normal': 650000, 'high': 750000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
The Dewi Premier Nusa Penida ,3,Terrace,750000,"{'normal': 850000, 'high': 950000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
The Dewi Premier Nusa Penida ,3,Terrace,750000,"{'normal': 850000, 'high': 950000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
The Dewi Bedugul ,3,Deluxe Tent (Weekdays) ,500000,"{'normal': 600000, 'high': 700000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Asri Sari Ubud,3,Deluxe Room,350000,"{'normal': 450000, 'high': 550000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
"
Mora Residence Jimbaran (room only)",3,Standard Room ,300000,"{'normal': 400000, 'high': 500000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Kubal Villa Seminyak (room only),3,Deluxe room ,350000,"{'normal': 450000, 'high': 550000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Bale Seminyak (room only),3,Superior room ,500000,"{'normal': 600000, 'high': 700000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Anggie Stay Kerobokan (room only),Stars,Superior room ,350000,"{'normal': 450000, 'high': 550000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Pondok Bobo Seminyak (room only),Stars,Superior room ,300000,"{'normal': 400000, 'high': 500000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Kampi Hotel Legian,3,Champ Room ,https://drive.google.com/drive/folders/1amuHQG_qwNT12mIJPJ7jZLjx13HxVhje,"{'normal': 500000, 'high': 700000, 'peak': 250000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel or Villa,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Puri Tempo Doeloe,3,Deluxe ,https://drive.google.com/drive/folders/1TJ_ym0ahYoR42be3etrIrfBw9y_6e12y?usp=drive_link,"{'normal': 850000, 'high': 1100000, 'peak': 450000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
"
The Vira Bali Boutique Hotel & Suite Kuta",4,Superior Room,https://www.dropbox.com/sh/n78vxrqtph2llun/AABjLFLZBLxRBVFzmYr_APE7a?dl=0,"{'normal': 875000, 'high': 1075000, 'peak': nan}","Booking window : Immediately – 31 April 2025 & Periods stay :
01 April – 23 Dec 2025","{'normal': nan, 'high': nan, 'peak': nan}",
"
The Vira Bali Boutique Hotel & Suite Kuta",4,Superior Room,,"{'normal': 1185500, 'high': 1385500, 'peak': 1585500}",3/31/2026 0:00,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Swissbell Tuban ,4,Deluxe no Balcony – 24m2,https://drive.google.com/drive/folders/1-9r0rv2AeAvqfTPO4GnIe6H5f-QjaLv4 ,"{'normal': 650000, 'high': 800000, 'peak': 750000}",1450000,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
"
Alam Kulkul Boutique Resort Legian Kuta",4,Alam Room,1155000,"{'normal': 1365000, 'high': 1417500, 'peak': datetime.datetime(2025, 12, 31, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Sense Canggu Beach,4,Suite Garden View,1000000,"{'normal': 1450000, 'high': 1500000, 'peak': 'Booking period : Immediately – 30 June 2025, Stay period : Immediately – 31 October 2025'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Risata Bali Resort Kuta,4,Superior Room,https://drive.google.com/drive/u/0/mobile/folders/1mPf-P43yPwvkwpCm-hj55hmSnS8D_NbP?usp=share_link,"{'normal': 750000, 'high': 900000, 'peak': 250000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': nan, 'peak': nan}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Golden Tulip Jineng Kuta,4,Deluxe City View,700000,"{'normal': 850000, 'high': 800000, 'peak': 2100000}",12/31/2025 0:00,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
Grand Ixora Kuta,4,Superior  (23 m2) ,https://drive.google.com/drive/folders/1v4IrYtuNCfJrDu7lx0nI_AKnHVwL9XYZ,"{'normal': 600000, 'high': 800000, 'peak': 900000}",No Extra Bed,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
The Rivavi Legian,4,Deluxe Suite ,https://drive.google.com/drive/folders/1Ai8qQe1buZsvl7omQC6Ep7hJo8dhsv9f,"{'normal': 592800, 'high': nan, 'peak': nan}",200000,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
J4 Hotel,4,Superior,https://drive.google.com/drive/folders/1g_iYmBN6xF_iv32PJHrBrZRq7WQlFSwH,"{'normal': 600000, 'high': 850000, 'peak': 950000}",Saat high/ peak harga bisa berubah,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': nan, 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Bedrock,4,Superior,500000,"{'normal': '850.000 / 780.000', 'high': 850000, 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Harper,4,Superior ,https://drive.google.com/drive/folders/1zv-fzQufY3mCL7LX1JT83I1WbEp0n7jd,"{'normal': 785000, 'high': 1135000, 'peak': 935000}",3235000,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Bliss Surfer Hotel,4,Deluxe,https://drive.google.com/drive/folders/1hLjOoDanCM6jNsRPMlCgf_VRnnQFqMdE,"{'normal': 450000, 'high': 550000, 'peak': nan}",30-Sep-25,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Normal Season,"{'normal': 'High Season', 'high': 'Peak Season', 'peak': 'Batas Kontrak'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Harris MBG,4,Harris Room,450000,"{'normal': 700000, 'high': 750000, 'peak': datetime.datetime(2025, 12, 19, 0, 0)}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': nan}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Kuta Beach Club,4,Deluxe Room,https://drive.google.com/drive/folders/1WHn6YDnO5lFuACZ-9ReuE52Q2jUmWXNq?usp=drive_link,"{'normal': 730000, 'high': 930000, 'peak': 1630000}",2180000,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Ubud Raya Hotel,Stars,Deluxe Room,,"{'normal': 600000, 'high': 925000, 'peak': 350000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season    06 Jan -27 Mar', 'high': 'High Season', 'peak': nan}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
Brits Legian,4,Deluxe Room,,"{'normal': 450000, 'high': 550000, 'peak': 550000}",,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Adhi Jaya Hotel Kuta,4,Superior Room,,"{'normal': 650000, 'high': 800000, 'peak': nan}",9/30/2025 0:00,"{'normal': nan, 'high': nan, 'peak': nan}",
Adhi Jaya Hotel Kuta,4,Superior Room,,"{'normal': 700000, 'high': 1050000, 'peak': 1300000}",3/31/2025 0:00,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': ' Normal Season', 'high': '01 Apr - 06 Apr 2025 / 23 Des - 03 Jan 2026 / 16 Mar - 25 Mar 2026', 'peak': datetime.datetime(2025, 12, 31, 0, 0)}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
Episode Kuta Hotel,4,Deluxe ,https://drive.google.com/drive/folders/1Io7SdfRE-jmG8Tj58GP894XyzIYrXxnR?usp=sharing,"{'normal': 500000, 'high': 750000, 'peak': 1550000}",3/31/2026 0:00,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Batas Kontrak,"{'normal': nan, 'high': nan, 'peak': nan}",
De Vins Sky Seminyak,4,Superior Room,https://drive.google.com/drive/folders/1hT1Zsuy3FpN1xdNk0uzZ0FDe3Ex-34oJ,"{'normal': 750000, 'high': 950000, 'peak': 1250000}",3/31/2026 0:00,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Peak Season'}",Extrabed,"{'normal': nan, 'high': nan, 'peak': nan}",
Bintang Kuta Hotel (Asing),4,Deluxe Room (FIT),https://drive.google.com/drive/folders/1Vhl9ytyRSTnVvuMdGXcgYq85J6yKrwdI,"{'normal': 900000, 'high': 1100000, 'peak': 2300000}",350.000 / 400.000 / 450.000 / 950.000 / 1.350.000,"{'normal': nan, 'high': nan, 'peak': nan}",
Bintang Kuta Hotel (Domestic),4,Deluxe Room (FIT),,"{'normal': 800000, 'high': 1000000, 'peak': 2200000}",350.000 / 400.000 / 450.000 / 950.000 / 1.350.000,"{'normal': nan, 'high': nan, 'peak': nan}",
Nama  Hotel,Stars,Type Room,Link Photo Room,"{'normal': 'Normal Season', 'high': 'High Season', 'peak': 'Extrabed'}",,"{'normal': nan, 'high': nan, 'peak': nan}",
