villaName,stars,roomType,photoLink,seasons,extrabed,honeymoonPackage,contractUntil
Alam KulKul Villa Legian Kuta,5.0,Alam Villa,https://drive.google.com/drive/folders/1xxFzVVxiuEAWO0Ox6jFvP3fD5rdtvNz1,"{'normal': 1680000, 'high': 1995000, 'peak': 2047500}",400000,,
Alam KulKul Villa Legian Kuta,5.0,Alam Java Villa,,"{'normal': 2336250, 'high': 2651250, 'peak': 2756250}",,,
Aksari Resort Ubud,5.0,One Bedroom Villa with Private Pool ,https://bit.ly/Aksari_Resort_Ubud,"{'normal': None, 'high': 5100000, 'peak': 5700000}",650000,12150000,5900000
Aksari Resort Ubud,5.0,Grand One Bedroom Villa with Private Pool,,"{'normal': None, 'high': 5100000, 'peak': 5700000}",5800000,12150000,5900000
Aksari Resort Ubud,5.0,Grand One Bedroom River View Villa with Private Pool,,"{'normal': None, 'high': 5600000, 'peak': 6200000}",6300000,13150000,6400000
Aksari Resort Ubud,5.0,Grand One Bedroom by The River Villa with Private Pool ,,"{'normal': None, 'high': 5600000, 'peak': 6200000}",6300000,13150000,6400000
Aksari Resort Ubud,5.0,Grand Two Bedroom River View Villa with Private Pool,,"{'normal': None, 'high': 7100000, 'peak': 7700000}",7800000,7100000,7900000
Aksari Resort Ubud,5.0,Grand Aksari Suite ,,"{'normal': None, 'high': 2300000, 'peak': 2750000}",2750000,2700000,2900000
Aksari Resort Ubud,5.0,Aksari Suite,,"{'normal': None, 'high': 2100000, 'peak': 2550000}",2550000,2400000,2700000
Aksari Resort Ubud,5.0,Suite Forest View,,"{'normal': None, 'high': 1900000, 'peak': 2350000}",2350000,2100000,2500000
Kaamala Luxury Resort & Spa Ubud,5.0,One Bedroom Villa with Private Pool ,https://bit.ly/KaamalaResortUbud,"{'normal': None, 'high': 3200000, 'peak': 3800000}",650000,8350000,4000000
Kaamala Luxury Resort & Spa Ubud,5.0,Grand One Bedroom Rice field View Villa with Private Pool,,"{'normal': None, 'high': 3600000, 'peak': 4200000}",4300000,9150000,4400000
Kaamala Luxury Resort & Spa Ubud,5.0,Grand Two Bedroom Rice Field View Villa with Private Pool,,"{'normal': None, 'high': 5100000, 'peak': 5700000}",5800000,,5900000
Kaamala Luxury Resort & Spa Ubud,5.0,Presidential Two Bedroom Private Pool Villa with Ricefield View,,"{'normal': None, 'high': 6000000, 'peak': 6600000}",6700000,,6800000
Kaamala Luxury Resort & Spa Ubud,5.0,Grand Suite Forest View,,"{'normal': None, 'high': 2200000, 'peak': 2650000}",6700000,,2800000
Kaamala Luxury Resort & Spa Ubud,5.0,Suite Forest View,,"{'normal': None, 'high': 1900000, 'peak': 2350000}",2350000,,2500000
Asvara Villa Ubud,5.0,Royal One Bedroom Villa with Private Pool and Jacuzzi,https://bit.ly/AsvaraVillaUbud,"{'normal': None, 'high': 1900000, 'peak': 2500000}",600000,5750000,2700000
Asvara Villa Ubud,5.0,Grand One Bedroom Rice field View Villa with Private Pool and Jacuzzi,,"{'normal': None, 'high': 2200000, 'peak': 2800000}",2900000,6350000,3000000
Asvara Villa Ubud,5.0,Royal Two Bedroom Villa with Private Pool and Jacuzzi ,,"{'normal': None, 'high': 3600000, 'peak': 4200000}",4300000,,4400000
Dedary Resort & Spa Ubud,4.0,One Bedroom Villa with Private Pool and Bathtub ,https://bit.ly/DedaryResortUbud,"{'normal': None, 'high': 1750000, 'peak': 2350000}",600000,5450000,2550000
Dedary Resort & Spa Ubud,4.0,One Bedroom Garden View Villa with Private Pool and Bathtub ,,"{'normal': None, 'high': 1850000, 'peak': 2450000}",2550000,5650000,2650000
Dedary Resort & Spa Ubud,4.0,One Bedroom Forest View Villa with Private Pool and Bathtub ,,"{'normal': None, 'high': 2100000, 'peak': 2700000}",2800000,6150000,2900000
Dedary Resort & Spa Ubud,4.0,Two Bedroom Villa with Private Pool and Bathtub,,"{'normal': None, 'high': 3100000, 'peak': 3700000}",3800000,,3900000
Dedary Resort & Spa Ubud,4.0,Two Bedroom Forest View Villa with Private Pool and Bathtub,,"{'normal': None, 'high': 3300000, 'peak': 3900000}",4000000,,4100000
Amarea Resort & Spa Ubud,5.0,Ubud Room,https://bit.ly/AmareaUbud,"{'normal': None, 'high': 850000, 'peak': 1300000}",550000,,1450000
Amarea Resort & Spa Ubud,5.0,Ubud Suite with Buthtub,,"{'normal': None, 'high': 1000000, 'peak': 1450000}",1450000,,1600000
Amarea Resort & Spa Ubud,5.0,Ubud Cottage with Buthtub,,"{'normal': None, 'high': 1200000, 'peak': 1650000}",1650000,,1800000
Amarea Resort & Spa Ubud,5.0,Grand Cottage,,"{'normal': None, 'high': 1350000, 'peak': 1800000}",1800000,,1950000
Amarea Resort & Spa Ubud,5.0,Cottage Room with Pool,,"{'normal': None, 'high': 1700000, 'peak': 2300000}",2150000,5350000,2300000
Amarea Resort & Spa Ubud,5.0,Smart One Bedroom Villa with Private Pool & Buthtub,,"{'normal': None, 'high': 2000000, 'peak': 2600000}",2700000,5950000,2800000
Amarea Resort & Spa Ubud,5.0,Grand One Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2200000, 'peak': 2800000}",2900000,6350000,3000000
Amarea Resort & Spa Ubud,5.0,Grand Two Bedroom Loft Forest View Villa with Private Pool,,"{'normal': None, 'high': 3000000, 'peak': 3600000}",3700000,,3800000
Sini Vie Luxury,5.0,Grand Smart One Bedroom Villa with Private Pool Jaccuzi with Lagoon Access,https://bit.ly/SiniVieVilla,"{'normal': None, 'high': 2300000, 'peak': 2900000}",550000,6550000,3100000
Sini Vie Luxury,5.0,Grand Smart One Bedroom Villa with Private Pool and Jaccuzi,,"{'normal': None, 'high': 2000000, 'peak': 2600000}",2600000,5950000,2800000
Sini Vie Luxury,5.0,Smart One Bedroom Villa with Private Pool and Jaccuzi,,"{'normal': None, 'high': 1800000, 'peak': 2400000}",2400000,5550000,2600000
Sini Vie Luxury,5.0,Grand Smart Suite Double with Bathtub,,"{'normal': None, 'high': 1000000, 'peak': 1450000}",1450000,,1600000
Sini Vie Luxury,5.0,Grand Smart Suite Twin with Bathtub,,"{'normal': None, 'high': 1000000, 'peak': 1450000}",1450000,,1600000
Sini Vie Luxury,5.0,Smart Suite Room,,"{'normal': None, 'high': 1000000, 'peak': 1450000}",1450000,,1600000
Monolocale Luxury Resort & Spa Seminyak,5.0,One Bedroom Villa with Private Pool,https://bit.ly/MonolocaleResort,"{'normal': None, 'high': 1900000, 'peak': 2500000}",550000,5550000,2700000
Monolocale Luxury Resort & Spa Seminyak,5.0,Royal One Bedroom Villa with Private Pool ,,"{'normal': None, 'high': 1800000, 'peak': 2400000}",2600000,5550000,2600000
Monolocale Luxury Resort & Spa Seminyak,5.0,Grand One Bedroom Villa with Private Pool ,,"{'normal': None, 'high': 2200000, 'peak': 2800000}",3000000,5950000,3000000
Monolocale Luxury Resort & Spa Seminyak,5.0,Seminyak Suite Double,,"{'normal': None, 'high': 750000, 'peak': 1200000}",1400000,,1350000
Monolocale Luxury Resort & Spa Seminyak,5.0,Seminyak Suite Twin,,"{'normal': None, 'high': 750000, 'peak': 1200000}",1400000,,1350000
Aksari Seminyak,5.0,Royal Smart One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/AksariSeminyakVilla,"{'normal': None, 'high': 1800000, 'peak': 2400000}",550000,5550000,2600000
Astera Seminyak,5.0,One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/AsteraSeminyakVilla,"{'normal': None, 'high': 1800000, 'peak': 2400000}",550000,5550000,2600000
Sana Vie Villa,5.0,Smart One Bedroom Villa with Private Pool and Bathtub,https://bit.ly/SanaVieVilla,"{'normal': None, 'high': 1800000, 'peak': 2400000}",550000,5550000,2600000
Sana Vie Villa,5.0,Royal Smart One Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 1900000, 'peak': 2500000}",2600000,5750000,2700000
Sana Vie Villa,5.0,Two Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2600000, 'peak': 3200000}",3300000,,3400000
Aleva Villa,4.0,Royal One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/AlevaVilla,"{'normal': None, 'high': 1800000, 'peak': 2400000}",550000,5550000,2600000
Ayona Villa,4.0,One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/AyonaVilla,"{'normal': None, 'high': 2000000, 'peak': 2600000}",550000,5950000,2800000
Ayona Villa,4.0,Grand One Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2100000, 'peak': 2700000}",2800000,6150000,2900000
Cyrus Villa,4.0,One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/CyrusVilla,"{'normal': None, 'high': 2900000, 'peak': 3500000}",550000,7750000,3700000
Cyrus Villa,4.0,Grand One Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 3150000, 'peak': 3750000}",3850000,8250000,3950000
La Vie Villa,4.0,One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/LaVieVilla_,"{'normal': None, 'high': 1500000, 'peak': 2100000}",550000,4950000,2300000
La Vie Villa,4.0,Royal One Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 1600000, 'peak': 2200000}",2300000,5150000,2400000
Seminyak Sanctuary,4.0,Grand One Bedroom Villa with Private Pool and Bathtub,bit.ly/SeminyakSanctuary,"{'normal': None, 'high': 1500000, 'peak': 2100000}",550000,4950000,2300000
Ini Vie Villa,4.0,Royal One Bedroom Villa with Private Pool and Jacuzzi,https://bit.ly/IniVieVilla,"{'normal': None, 'high': 1500000, 'peak': 2100000}",550000,4950000,2300000
Ini Vie Villa,4.0,Royal Two Bedroom Villa with Private Pool and Jacuzzi,,"{'normal': None, 'high': 2200000, 'peak': 2800000}",2900000,,3000000
Astera Luxury Resort & Spa Canggu,5.0,Loft Suite Room,https://bit.ly/AsteraSeminyakVilla,"{'normal': None, 'high': 950000, 'peak': 1400000}",550000,,1550000
Astera Luxury Resort & Spa Canggu,5.0,Smart Loft One Bedroom Villa with Private Pool Villa and Jacuzzi,,"{'normal': None, 'high': 1800000, 'peak': 2400000}",2500000,5550000,2600000
Astera Luxury Resort & Spa Canggu,5.0,Smart One Bedroom Villa with Private Pool Villa and Jacuzzi,,"{'normal': None, 'high': 1800000, 'peak': 2400000}",2500000,5550000,2600000
Astera Luxury Resort & Spa Canggu,5.0,Smart Royal One Bedroom Villa with Private Pool Villa and Jacuzzi,,"{'normal': None, 'high': 2000000, 'peak': 2600000}",2700000,5950000,2800000
Teratai Villa Canggu,5.0,One Bedroom Villa with Private Pool and Bathtub,https://bit.ly/TerataiCangguVilla,"{'normal': None, 'high': 1700000, 'peak': 2300000}",550000,5350000,2500000
Teratai Villa Canggu,5.0,Grand One Bedroom Villa with Private Pool and Bathtub,,"{'normal': None, 'high': 1800000, 'peak': 2400000}",2500000,5550000,2600000
Teratai Villa Canggu,5.0,Two Bedroom Villa with Private Pool and Bathtub,,"{'normal': None, 'high': 2200000, 'peak': 2800000}",2800000,,3000000
Teratai Villa Canggu,5.0,Grand Two Bedroom Villa with private pool and bathtub,,"{'normal': None, 'high': 2400000, 'peak': 3000000}",3200000,,3200000
Aeera Villa,4.0,Royal Smart One Bedroom Villa with Private Pool Villa and Bathtub,https://bit.ly/AeeraVilla,"{'normal': None, 'high': 1200000, 'peak': 1800000}",550000,,2000000
Aeera Villa,4.0,Suite Room,,"{'normal': None, 'high': 650000, 'peak': 1100000}",1100000,,1250000
Canggu Cabana Resort & Spa,5.0,Suite Garden View,https://bit.ly/CangguCabana,"{'normal': None, 'high': 1000000, 'peak': 1450000}",550000,,1600000
Canggu Cabana Resort & Spa,5.0,Suite Double,,"{'normal': None, 'high': 1000000, 'peak': 1450000}",1450000,,1600000
Canggu Cabana Resort & Spa,5.0,Suite Twin,,"{'normal': None, 'high': 1000000, 'peak': 1450000}",1450000,,1600000
Canggu Cabana Resort & Spa,5.0,Suite Plunge Pool,,"{'normal': None, 'high': 1250000, 'peak': 1700000}",1700000,,1850000
Canggu Cabana Resort & Spa,5.0,Cabana Ocean View,,"{'normal': None, 'high': 1800000, 'peak': 2250000}",2250000,,2400000
Canggu Cabana Resort & Spa,5.0,Grand Cabana Ocean View,,"{'normal': None, 'high': 1900000, 'peak': 2350000}",2350000,,2500000
Canggu Cabana Resort & Spa,5.0,Two Bedroom Loft,,"{'normal': None, 'high': 2200000, 'peak': 2650000}",2650000,,2800000
Ayona Canggu,4.0,One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/AyonaCanggu,"{'normal': None, 'high': 1700000, 'peak': 2300000}",550000,5350000,2500000
Ayona Canggu,4.0,Grand One Bedroom Private Pool Villa with Forest View,,"{'normal': None, 'high': 1800000, 'peak': 2400000}",2500000,5550000,2600000
Ayona Canggu,4.0,Sky One Bedroom Private Pool Villa with Forest View,,"{'normal': None, 'high': 2100000, 'peak': 2700000}",2800000,6150000,2900000
Manca Villa,4.0,Royal One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/MancaVIlla,"{'normal': None, 'high': 1200000, 'peak': 1800000}",550000,,2000000
Manca Villa,4.0,Grand One Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 1300000, 'peak': 1900000}",2000000,,2100000
Atap Resort Canggu,5.0,Grand One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/AtapResortCanggu,"{'normal': None, 'high': 1700000, 'peak': 2300000}",2400000,5950000,2500000
Atap Resort Canggu,5.0,One Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 1600000, 'peak': 2200000}",2300000,5550000,2400000
Atap Resort Canggu,5.0,Suite Room,,"{'normal': None, 'high': 1000000, 'peak': 1450000}",1450000,,1600000
Roomates Surf Camp Canggu,3.0,Canggu Double Room,https://bit.ly/RoomatesCanggu,"{'normal': None, 'high': 750000, 'peak': 1200000}",550000,,1350000
Roomates Surf Camp Canggu,3.0,Canggu Twin Room,,"{'normal': None, 'high': 750000, 'peak': 1200000}",1200000,,1350000
Roomates Surf Camp Canggu,3.0,Bunk Bed Female Dormitory,,"{'normal': None, 'high': 175000, 'peak': 625000}",625000,,775000
Roomates Surf Camp Canggu,3.0,Bunk Mix Dormitory,,"{'normal': None, 'high': 175000, 'peak': 625000}",625000,,775000
Earth Villa,4.0,One Bedroom Villa with Private Pool and Bathtub (ROOM ONLY),https://bit.ly/EarthVilla,"{'normal': None, 'high': 1600000, 'peak': 2200000}",2300000,,2400000
Earth Villa,4.0,Two Bedroom Villa with Private Pool and Bathtub (ROOM ONLY),,"{'normal': None, 'high': 1900000, 'peak': 2500000}",2600000,,2700000
Cabana Kedungu,4.0,"Four Bedroom Private Pool Villa 
",https://bit.ly/CabanaKedungu,"{'normal': None, 'high': 2400000, 'peak': 3000000}",3100000,,3200000
Cabana Kedungu,4.0,Five Bedroom Private Pool Villa,,"{'normal': None, 'high': 2700000, 'peak': 3300000}",3400000,,3500000
Sanora Villa Sanur,5.0,One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/SanoraVillaSanur,"{'normal': None, 'high': 1700000, 'peak': 2300000}",550000,,2500000
Sanora Villa Sanur,5.0,Two Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2200000, 'peak': 2800000}",2900000,,3000000
Sanora Villa Sanur,5.0,Grand Two Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2500000, 'peak': 3100000}",3200000,,3300000
Seascape Luxury Resort & Spa,5.0,One Bedroom Villa with Private Pool ,https://bit.ly/SeaescapeSanur,"{'normal': None, 'high': 2500000, 'peak': 3100000}",3200000,6950000,3300000
Seascape Luxury Resort & Spa,5.0,Grand One Bedroom Villa with Private Pool ,,"{'normal': None, 'high': 2700000, 'peak': 3300000}",3400000,7350000,3500000
Seascape Luxury Resort & Spa,5.0,Suite Ocean View,,"{'normal': None, 'high': 1300000, 'peak': 1750000}",1850000,,1900000
Seascape Luxury Resort & Spa,5.0,Suite Room,,"{'normal': None, 'high': 1100000, 'peak': 1550000}",1650000,,1700000
The Jimbaran Villa,4.0,One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/TheJimbaranVilla,"{'normal': None, 'high': 1250000, 'peak': 1850000}",550000,,9250000
Eight Palms,4.0,Two Bedroom Villa with Private Pool and Buthtub,https://bit.ly/EightPalmsVilla,"{'normal': None, 'high': 2300000, 'peak': 2900000}",550000,,3100000
Eight Palms,4.0,Three Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2500000, 'peak': 3100000}",3200000,,3300000
Eight Palms,4.0,Royal Three Bedroom Villa with Private Pool and Jacuzzi,,"{'normal': None, 'high': 3000000, 'peak': 3600000}",3700000,,3800000
Eight Palms,4.0,Royal Three Bedroom Waterslide Villa with Private Pool and Jacuzzi,,"{'normal': None, 'high': 3700000, 'peak': 4300000}",4400000,,4500000
La Mira Villa,4.0,Royal One Bedroom Villa with Private Pool and Waterslide,https://bit.ly/LaMiraVilla,"{'normal': None, 'high': 1500000, 'peak': 2100000}",550000,,2300000
La Mira Villa,4.0,Royal Two Bedroom Waterslide Villa with Private Pool,,"{'normal': None, 'high': 1800000, 'peak': 2400000}",2500000,,2600000
La Mira Villa,4.0,Royal Three Bedroom Waterslide Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2500000, 'peak': 3100000}",3200000,,3300000
Kecapi Villa,4.0,Royal One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/KecapiVilla,"{'normal': None, 'high': 1500000, 'peak': 2100000}",550000,,2300000
Kecapi Villa,4.0,Royal Two Bedroom Villa with Private Pool,,"{'normal': None, 'high': 1900000, 'peak': 2500000}",2600000,,2700000
Kecapi Villa,4.0,Royal Three Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2600000, 'peak': 3200000}",3300000,,3400000
Kolila Villa Seminyak,4.0,Two Bedroom Villa with Private Pool and Buthtub,https://bit.ly/KolilaVilla,"{'normal': None, 'high': 2000000, 'peak': 2600000}",2700000,,2800000
Kolila Villa Seminyak,4.0,Three Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2600000, 'peak': 3200000}",3300000,,3400000
Canggu Circle,4.0,One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/CangguCircle,"{'normal': None, 'high': 1100000, 'peak': 1700000}",550000,,1900000
Canggu Circle,4.0,Two Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 1350000, 'peak': 1950000}",2050000,,2150000
Canggu Circle,4.0,Three  Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 2000000, 'peak': 2600000}",2700000,,2800000
Nara Villa Canggu,5.0,Three  Bedroom Villa with Private Pool ,https://bit.ly/NaraVillaCanggu,"{'normal': None, 'high': 2700000, 'peak': 3300000}",550000,,3500000
Nara Villa Canggu,5.0,Four Bedroom Villa with Private Pool ,,"{'normal': None, 'high': 3400000, 'peak': 4000000}",4100000,,4200000
Nara Villa Canggu,5.0,Five Bedroom Villa with Private Pool ,,"{'normal': None, 'high': 3800000, 'peak': 4400000}",4500000,,4600000
Kanadea Villa,4.0,Two Bedroom Villa with Private Pool  (ROOM ONLY),https://bit.ly/KanadeaVilla,"{'normal': None, 'high': 1600000, 'peak': 2200000}",2300000,,2400000
Kanadea Villa,4.0,Three  Bedroom Villa with Private Pool (ROOM ONLY),,"{'normal': None, 'high': 2000000, 'peak': 2600000}",2700000,,2800000
Nyanyi Sanctuary,4.0,One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/NyanyiSanctuary,"{'normal': None, 'high': 900000, 'peak': 1500000}",550000,,1700000
Nyanyi Sanctuary,4.0,Two Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 1200000, 'peak': 1800000}",1900000,,2000000
Nyanyi Sanctuary,4.0,Three  Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 1800000, 'peak': 2400000}",2500000,,2600000
Ubud Raya Villa,4.0,Superior One Bedroom Pool Villa ,,"{'normal': 1600000, 'high': 1925000, 'peak': None}",,,2025-05-01 00:00:00
Ubud Raya Villa,4.0,Deluxe One Bedroom Pool Villa,,"{'normal': 1800000, 'high': 2125000, 'peak': None}",,,
Ubud Raya Villa,4.0,Two Bedroom Pool Villa,,"{'normal': 2800000, 'high': 3125000, 'peak': None}",,,
Ubud Raya Villa,4.0,Three Bedroom Pool Villa,,"{'normal': 3900000, 'high': 4225000, 'peak': None}",,,
Ubud Raya Villa,4.0,Superior One Bedroom Pool Villa ,,"{'normal': 1600000, 'high': 1925000, 'peak': None}",,,2025-06-01 00:00:00
Ubud Raya Villa,4.0,Deluxe One Bedroom Pool Villa,,"{'normal': 1800000, 'high': 2125000, 'peak': None}",,,
Ubud Raya Villa,4.0,Two Bedroom Pool Villa,,"{'normal': 2800000, 'high': 3125000, 'peak': None}",,,
Ubud Raya Villa,4.0,Three Bedroom Pool Villa,,"{'normal': 3900000, 'high': 4225000, 'peak': None}",,,
The Bali Dream Villa Seminyak,4.0,One Bedroom Villa with Private Pool ,https://drive.google.com/drive/folders/1ORwTnhb0U3POBl9Ws0pglBxB70tz1znh,"{'normal': 2315000, 'high': 2515000, 'peak': 2615000}",2715000,31 March 2026,490000
The Bali Dream Villa Seminyak,4.0,Two Bedroom Villa with Private Pool ,,"{'normal': 3515000, 'high': 3715000, 'peak': 3815000}",3915000,,
