villaName,stars,roomType,photoLink,seasons,extrabed,honeymoonPackage,contractUntil
The Bali Dream Villa Seminyak,4.0,Three  Bedroom Villa with Private Pool ,,"{'normal': 4715000, 'high': 4915000, 'peak': 5015000}",5115000,,
The Bali Dream Villa Seminyak,4.0,Four Bedroom Villla with Private Pool,,"{'normal': 5915000, 'high': 6115000, 'peak': 6215000}",6315000,,
The Bali Dream Villa Seminyak,4.0,One Bedroom Villa with Private Pool ,,"{'normal': 2315000, 'high': 2515000, 'peak': 2615000}",2715000,31 March 2026,
The Bali Dream Villa Seminyak,4.0,Two Bedroom Villa with Private Pool ,,"{'normal': 3515000, 'high': 3715000, 'peak': 3815000}",3915000,,
The Bali Dream Villa Seminyak,4.0,Three  Bedroom Villa with Private Pool ,,"{'normal': 4715000, 'high': 4915000, 'peak': 5015000}",5115000,,
The Bali Dream Villa Seminyak,4.0,Four Bedroom Villla with Private Pool,,"{'normal': 5915000, 'high': 6115000, 'peak': 6215000}",6315000,,
S18 Bali Villa,5.0,One Bedroom Villa with Private Pool Villa,,"{'normal': 1850000, 'high': 2100000, 'peak': 2050000}",2200000,2023-03-31 00:00:00,350000
S18 Bali Villa,5.0,Two Bedroom Villa with Private Pool Villa,,"{'normal': 3350000, 'high': 3600000, 'peak': 3550000}",3700000,,
S18 Bali Villa,5.0,Three  Bedroom Villa with Private Pool Villa,,"{'normal': 4350000, 'high': 4600000, 'peak': 4550000}",4700000,,
Alam Puisi Villa Ubud,5.0,One Bedroom Villa Private Pool,https://drive.google.com/drive/folders/1upOxy1YsY2--5Ppg2eXiPumR5QHrMjWC?usp=sharing,"{'normal': 1350000, 'high': 1700000, 'peak': 1700000}",350000,,2023-03-31 00:00:00
The Sakaye ,5.0,One Bedroom Villa with Private Pool Villa,https://bit.ly/sakyephotos,"{'normal': 1400000, 'high': 1900000, 'peak': 1900000}",,,2025-10-31 00:00:00
The Sakaye ,5.0,Two Bedroom Villa with Private Pool Villa,,"{'normal': 2400000, 'high': 3150000, 'peak': 3150000}",,,
The Sakaye ,5.0,Three  Bedroom Villa with Private Pool Villa,,"{'normal': 3300000, 'high': 4300000, 'peak': 4300000}",,,
Pramana Zahill Kintamani,5.0,1 Bedroom Private Pool Villa (3 Unit),2100000,"{'normal': 2400000, 'high': 2400000, 'peak': None}",2026-03-31 00:00:00,,
Pramana Zahill Kintamani,5.0,3 Bedroom Private Pool Villa ( 1 Unit),3200000,"{'normal': 3500000, 'high': 3500000, 'peak': None}",,,
Pramana Natura Nusa Penida,,Suite Ocean View (27 Unit),2300000,"{'normal': 2850000, 'high': 2850000, 'peak': 6650000}",4750000,2026-03-31 00:00:00,700000
Pramana Natura Nusa Penida,,One Bedroom Villa Ocean View ( 3 Unit),4500000,"{'normal': 5050000, 'high': 5050000, 'peak': 8850000}",6950000,,
Pramana Natura Nusa Penida,,One Bedroom Royal Pool Villa Ocean View (2 Unit),7500000,"{'normal': 8050000, 'high': 8050000, 'peak': 11850000}",9950000,,
Pramana Giri Kusuma Ubud,,One Bedroom Jungle Villa (4 Unit),2800000,"{'normal': 3250000, 'high': 3250000, 'peak': 4550000}",4950000,2026-03-31 00:00:00,550000
Pramana Giri Kusuma Ubud,,Two Bedroom Jungle Pool (1 Unit),5500000,"{'normal': 5950000, 'high': 5950000, 'peak': 7250000}",7650000,,
Beehouse Dijiwa Ubud,,One Bedroom Villa ,https://drive.google.com/drive/folders/17JIeBk1AzjtK05JF8Iss23_zmz7nyBMc,"{'normal': 3750000, 'high': 4250000, 'peak': 4250000}",600000,,1 Apr 2025 â€“ 31 Oct 2025 
Beehouse Dijiwa Ubud,,Villa with Private Pool ,,"{'normal': 4100000, 'high': 4600000, 'peak': 4600000}",,,
Beehouse Dijiwa Ubud,,Duplex Private Pool Villa ,,"{'normal': 4400000, 'high': 4900000, 'peak': 4900000}",,,
Beehouse Dijiwa Ubud,,One Bedroom Villa ,,"{'normal': 3750000, 'high': 4250000, 'peak': 4250000}",600000,,1 Nov 2025 â€“ 31 Mar 2026
Beehouse Dijiwa Ubud,,Villa with Private Pool ,,"{'normal': 4100000, 'high': 4600000, 'peak': 4600000}",,,
Beehouse Dijiwa Ubud,,Duplex Private Pool Villa ,,"{'normal': 4400000, 'high': 4900000, 'peak': 4900000}",,,
Mathis Retreat Ubud,,Deluxe,https://drive.google.com/drive/folders/1_peT2D882M5ERFStp_2vsjAZOj4IDoxo,"{'normal': 1200000, 'high': 1800000, 'peak': 2400000}",650000,,2026-03-01 00:00:00
Mathis Retreat Ubud,,Bungalow,,"{'normal': 1400000, 'high': 2000000, 'peak': 2700000}",,,
Mathis Retreat Ubud,,Grand Deluxe Rice Field,,"{'normal': 1500000, 'high': 2100000, 'peak': 2900000}",,,
Mathis Retreat Ubud,,Grand Deluxe Connecting,,"{'normal': 3150000, 'high': 4300000, 'peak': 6000000}",,,
Mathis Retreat Amed,,Deluxe Lodge ,https://drive.google.com/drive/folders/1YIJoY83XgYVGlvUpBRCLtps6-l2gcMJD,"{'normal': 1700000, 'high': 2100000, 'peak': 2900000}",650000,,2026-03-01 00:00:00
Mathis Retreat Amed,,Jacuzzi Lodge ,,"{'normal': 2100000, 'high': 2500000, 'peak': 3400000}",,,
Mathis Retreat Amed,,Pool Lodge ,,"{'normal': 3500000, 'high': 4200000, 'peak': 5200000}",,,
Mathis Retreat Amed,,Family Lodge ,,"{'normal': 2200000, 'high': 2600000, 'peak': 3400000}",,,
Mathis Retreat Amed,,Family Pool Lodge ,,"{'normal': 4000000, 'high': 4700000, 'peak': 5700000}",,,
Blue Karma Dijiwa Ubud,,One Bedroom Suite,https://drive.google.com/drive/folders/1HVQqhdEaSBD8bjU_oUl9jiblUQY9VEp2,"{'normal': 2150000, 'high': 2650000, 'peak': 2650000}",650000,,1 Apr 2025 â€“ 31 Oct 2025 
Blue Karma Dijiwa Ubud,,One Bedroom Villa Garden View,,"{'normal': 2550000, 'high': 3050000, 'peak': 3050000}",,,
Blue Karma Dijiwa Ubud,,One Bedroom Villa Hammock Jungle View,,"{'normal': 3550000, 'high': 4050000, 'peak': 4050000}",,,
Blue Karma Dijiwa Ubud,,One Bedroom Private Pool Villa,,"{'normal': 4350000, 'high': 4850000, 'peak': 4850000}",,,
Blue Karma Dijiwa Ubud,,One Bedroom Suite,,"{'normal': 2150000, 'high': 2650000, 'peak': 2650000}",650000,,1 Nov 2025 â€“ 31 Mar 2026
Blue Karma Dijiwa Ubud,,One Bedroom Villa Garden View,,"{'normal': 2550000, 'high': 3050000, 'peak': 3050000}",,,
Blue Karma Dijiwa Ubud,,One Bedroom Villa Hammock Jungle View,,"{'normal': 3550000, 'high': 4050000, 'peak': 4050000}",,,
Blue Karma Dijiwa Ubud,,One Bedroom Private Pool Villa,,"{'normal': 4350000, 'high': 4850000, 'peak': 4850000}",,,
Blue Karma Dijiwa Seminyak,,One Bedroom Suite,https://drive.google.com/drive/folders/1tD-vIfD6Xe3V6JfsIQSD1BHEMy6TKhXS,"{'normal': 2150000, 'high': 2650000, 'peak': 2650000}",650000,,1 Apr 2025 â€“ 31 Oct 2025 
Blue Karma Dijiwa Seminyak,,One Bedroom Suite with Pool,,"{'normal': 3050000, 'high': 3550000, 'peak': 3550000}",,,
Blue Karma Dijiwa Seminyak,,Two Bedroom Private Pool Villa,,"{'normal': 4850000, 'high': 5350000, 'peak': 5350000}",,,
Blue Karma Dijiwa Seminyak,,One Bedroom Suite,,"{'normal': 2150000, 'high': 2650000, 'peak': 2650000}",650000,,1 Nov 2025 â€“ 31 Mar 2026
Blue Karma Dijiwa Seminyak,,One Bedroom Suite with Pool,,"{'normal': 3050000, 'high': 3550000, 'peak': 3550000}",,,
Blue Karma Dijiwa Seminyak,,Two Bedroom Private Pool Villa,,"{'normal': 4850000, 'high': 5350000, 'peak': 5350000}",,,
Blue Karma Village,,One Bedroom Private Pool Joglo,https://drive.google.com/drive/folders/1zKwu-4b5S8p_LO27Vlv2kHXTt_gdLY_I,"{'normal': 4250000, 'high': 4750000, 'peak': 4750000}",700000,,1 Apr 2025 â€“ 31 Oct 2025 
Blue Karma Village,,Two Bedroom Suite,,"{'normal': 5500000, 'high': 6000000, 'peak': 6000000}",,,
Blue Karma Village,,Three Bedroom Pool Villa,,"{'normal': 11500000, 'high': 12000000, 'peak': 12000000}",,,
Blue Karma Village,,One Bedroom Private Pool Joglo,,"{'normal': 4250000, 'high': 4750000, 'peak': 4750000}",700000,,1 Nov 2025 â€“ 31 Mar 2026
Blue Karma Village,,Two Bedroom Suite,,"{'normal': 5500000, 'high': 6000000, 'peak': 6000000}",,,
Blue Karma Village,,Three Bedroom Pool Villa,,"{'normal': 11500000, 'high': 12000000, 'peak': 12000000}",,,
The Sankara Resort & Spa,,One Bedroom Pool Villa ,,"{'normal': 3600000, 'high': 4000000, 'peak': 4000000}",6000000,2026-03-31 00:00:00,450000
The Sankara Resort & Spa,,Two Bedroom Pool Villa ,,"{'normal': 4100000, 'high': 4500000, 'peak': 4500000}",6500000,,
SUMITRA LUXURY VILLAS A PRAMANA EXPERINCE,,Beach Front Luxury  One Bedroom Pool Villa ,,"{'normal': 8500000, 'high': 9600000, 'peak': 9820000}",2026-03-31 00:00:00,2750000,10200000
SUMITRA LUXURY VILLAS A PRAMANA EXPERINCE,,Beach Front Luxury  Two Bedroom Pool Villa ,,"{'normal': 15100000, 'high': 16200000, 'peak': 16420000}",16200000,,16800000
The Alena Resort,,Classic One Bedroom Private Pool Villa,,"{'normal': 3325000, 'high': 3775000, 'peak': 3775000}",5475000,2026-03-31 00:00:00,600000
The Alena Resort,,Luxury One Bedroom Private Pool Villa,,"{'normal': 3975000, 'high': 4425000, 'peak': 4425000}",6125000,,
The Alena Resort,,Royal,,"{'normal': 12000000, 'high': 12450000, 'peak': 12450000}",14150000,,
KAWI RESORT A PRAMANA EXPERIENCE,,One Bedroom Pool Villa,,"{'normal': 2575000, 'high': 2975000, 'peak': 2975000}",2026-03-31 00:00:00,500000,3725000
Thewakanda A Pramana Experience ,,One Bedroom Pool Villa ,,"{'normal': 4300000, 'high': 4700000, 'peak': 4700000}",650000,,2026-03-31 00:00:00
KUWARASAN A PRAMANA EXPERIENCE ,,One Bedroom Pool Villa,,"{'normal': 4000000, 'high': 4500000, 'peak': 4500000}",2026-03-31 00:00:00,650000,7900000
KUWARASAN A PRAMANA EXPERIENCE ,,Presidential Suite ,,"{'normal': 9000000, 'high': 9500000, 'peak': 9500000}",11900000,,12900000
SANNA UBUD A PRAMANA EXPERIENCE ,,Jungle Terrace Pool Villa ,,"{'normal': 5500000, 'high': 6050000, 'peak': 6050000}",2026-03-31 00:00:00,,
SANNA UBUD A PRAMANA EXPERIENCE ,,Jungle Suite Pool Villa ,,"{'normal': 5830000, 'high': 6380000, 'peak': 6380000}",,,
SANNA UBUD A PRAMANA EXPERIENCE ,,Buttler Valley Pool Villa ,,"{'normal': 7260000, 'high': 7810000, 'peak': 7810000}",,,
SANNA UBUD A PRAMANA EXPERIENCE ,,Two Storey Pool Villa ,,"{'normal': 12320000, 'high': 12870000, 'peak': 12870000}",,,
SWAN PARADISE A PRAMANA EXPERIENCE,,One Bedroom Garden Suite -  ( 30 Units) ,,"{'normal': 2100000, 'high': 2500000, 'peak': 2500000}",,,
SWAN PARADISE A PRAMANA EXPERIENCE,,Two Bedroom Garden Villa â€“ ( 5 units)  ,,"{'normal': None, 'high': None, 'peak': None}",,,
SWAN PARADISE A PRAMANA EXPERIENCE,,Three Bedroom Garden Villa w/Pool Access â€“ ( 14 units )  ,,"{'normal': None, 'high': None, 'peak': None}",,,
SWAN PARADISE A PRAMANA EXPERIENCE,,Three Bedroom Private Pool Villa - (5 Units) ,,"{'normal': 6730000, 'high': 7130000, 'peak': 7130000}",,,
TAPA TEPI KALI ECHO BEACH CANGGU,,One Bedroom Villa (1) ,1525000,"{'normal': 1900000, 'high': 1900000, 'peak': 2900000}",3700000,,
TAPA TEPI KALI ECHO BEACH CANGGU,,Two Bedroom Pool Villa (1) ,2675000,"{'normal': 3050000, 'high': 3050000, 'peak': 4050000}",4850000,,
TAPA TEPI KALI ECHO BEACH CANGGU,,Three Bedroom Pool Villa  (1),3725000,"{'normal': 4100000, 'high': 4100000, 'peak': 5100000}",5900000,,
Three Brother Villa Legian,,One Bedroom Pool Villa,1850000,"{'normal': 2050000, 'high': 2250000, 'peak': 300000}",2026-03-01 00:00:00,,
Three Brother Villa Legian,,One Bedroom Pool Villa with Jacuzzi,2150000,"{'normal': 2350000, 'high': 2550000, 'peak': None}",,,
Three Brother Villa Legian,,Two Bedroom Pool Villa,2500000,"{'normal': 2700000, 'high': 2900000, 'peak': None}",,,
Three Brother Villa Legian,,Three Bedroom Pool Villa,3750000,"{'normal': 3950000, 'high': 4150000, 'peak': None}",,,
Nama  Villa,0.0,Type Room,Normal Season,"{'normal': None, 'high': None, 'peak': None}",Batas Kontrak,,
Sithala Villa Seminyak,,One Bedroom Pool Villa,1800000,"{'normal': 2000000, 'high': 2200000, 'peak': 450000}",2026-03-01 00:00:00,,
Sithala Villa Seminyak,,One Bedroom Sweet Pool Villa,2200000,"{'normal': 2400000, 'high': 2600000, 'peak': None}",,,
Sithala Villa Seminyak,,Two Bedroom Sweet Villa,4200000,"{'normal': 4400000, 'high': 4600000, 'peak': None}",,,
Nama  Villa,0.0,Type Room,Normal Season,"{'normal': None, 'high': None, 'peak': None}",Batas Kontrak,,
Bajra Bali Villa Seminyak,0.0,One Bedroom Mono Pool Villa,1600000,"{'normal': 1800000, 'high': 2000000, 'peak': 300000}",2026-03-01 00:00:00,,
Bajra Bali Villa Seminyak,0.0,Two Bedroom Stereo Pool Villa,3100000,"{'normal': 3300000, 'high': 3500000, 'peak': None}",,,
Nama  Villa,0.0,Type Room,Normal Season,"{'normal': None, 'high': None, 'peak': None}",Batas Kontrak,,
Bale Gede Luxury Villa Seminyak,0.0,One Bedroom Pool Villa,1900000,"{'normal': 2100000, 'high': 2300000, 'peak': 450000}",2026-03-01 00:00:00,,
Bale Gede Luxury Villa Seminyak,0.0,Two Bedroom Pool Villa,2800000,"{'normal': 3000000, 'high': 3200000, 'peak': None}",,,
Bale Gede Luxury Villa Seminyak,0.0,Three Bedroom Pool Villa,3900000,"{'normal': 4100000, 'high': 4300000, 'peak': None}",,,
Kubu Sakian Sidemen,0.0,One Bedroom Villa,1050000,"{'normal': 1250000, 'high': 1450000, 'peak': 350000}",2026-03-01 00:00:00,,
"The Canda Villa 
Lembongan ",0.0,One Bedroom Villa,400000,"{'normal': 600000, 'high': 800000, 'peak': None}",2026-03-01 00:00:00,,
"The Canda Villa 
Lembongan ",0.0,Family Villa,550000,"{'normal': 750000, 'high': 950000, 'peak': None}",,,
Dikubu Bali Villa and Suites Seminyak ,0.0,One Bedroom Pool Villa,1550000,"{'normal': 1750000, 'high': 1950000, 'peak': 550000}",2026-03-01 00:00:00,,
Dikubu Bali Villa and Suites Seminyak ,0.0,Two Bedroom Pool Villa ,2600000,"{'normal': 2800000, 'high': 3000000, 'peak': None}",,,
Damarya Villa Canggu ,0.0,One Bedroom Pool Villa,1300000,"{'normal': 1500000, 'high': 1700000, 'peak': None}",2026-03-01 00:00:00,,
Kusuma Villa  Seminyak,0.0,One Bedroom Pool Villa,https://drive.google.com/drive/folders/1zRrPZA4sFgHPveDGxbIlXfSmQq1BKuCR?usp=drive_link,"{'normal': 1000000, 'high': 1200000, 'peak': 1400000}",350000,,2026-03-01 00:00:00
Kusuma Villa  Seminyak,0.0,Two Bedroom Pool Villa ,https://drive.google.com/drive/folders/1zRrPZA4sFgHPveDGxbIlXfSmQq1BKuCR?usp=drive_link,"{'normal': 1500000, 'high': 1700000, 'peak': 1900000}",,,
Kusuma Villa  Seminyak,0.0,Three Bedroom Pool Villa,https://drive.google.com/drive/folders/10Qh096zOkoPIBHjY_6uuDojesLbNQYIq?usp=drive_link,"{'normal': 2500000, 'high': 2700000, 'peak': 2900000}",,,2026-03-01 00:00:00
Kusuma Villa  Seminyak,0.0,Six Bedroom Pool Villa ,https://drive.google.com/drive/folders/1QMu_konjijksyIvVGZXC0FGw4qQbBqo4?usp=drive_link,"{'normal': 4500000, 'high': 4700000, 'peak': 4900000}",,,
The Dewi Canggu,0.0,One Bedroom Pool Villa,900000,"{'normal': 1100000, 'high': 1300000, 'peak': 350000}",2026-03-01 00:00:00,,
The Dewi Canggu,0.0,Two Bedroom Pool Villa ,1300000,"{'normal': 1500000, 'high': 1700000, 'peak': None}",,,
The Dewi Canggu,0.0,Three Bedroom Pool Villa,2000000,"{'normal': 2200000, 'high': 2400000, 'peak': None}",,,
The Dewi Eco Bamboo Villa Pinggan-Kintamani ,0.0,One Bedroom Eco Villa with Hill View ,1750000,"{'normal': 1950000, 'high': 2150000, 'peak': 450000}",2026-03-01 00:00:00,,
The Dewi Eco Bamboo Villa Pinggan-Kintamani ,0.0,One Bedroom Eco Villa with Lake View ,1950000,"{'normal': 2150000, 'high': 2350000, 'peak': None}",,,
Asri Sari Ubud,0.0,One Bedroom Pool Villa,850000,"{'normal': 1050000, 'high': 1250000, 'peak': None}",2026-03-01 00:00:00,,
Asri Sari Ubud,0.0,Two Bedroom Pool Villa,1600000,"{'normal': 1800000, 'high': 2000000, 'peak': None}",,,
Kubal Villa Seminyak ,0.0,One Bedroom Pool Villa,1300000,"{'normal': 1500000, 'high': 1700000, 'peak': None}",2026-03-01 00:00:00,,
Kubal Villa Seminyak ,0.0,Two Bedroom Pool Villa ,1950000,"{'normal': 2150000, 'high': 2350000, 'peak': None}",,,
Tiga Pantai Legian ,0.0,One Bedroom Pool Villa,1300000,"{'normal': 1500000, 'high': 1700000, 'peak': None}",2026-03-01 00:00:00,,
Tiga Pantai Legian ,0.0,Two Bedroom Pool Villa ,1800000,"{'normal': 2000000, 'high': 2200000, 'peak': None}",,,
Honeybee HUT Lembongan ,0.0,One Bedroom HUT ,450000,"{'normal': 650000, 'high': 850000, 'peak': None}",2026-03-01 00:00:00,,
Starfish Lembongan ,0.0,One Bedroom Villa,350000,"{'normal': 550000, 'high': 750000, 'peak': None}",2026-03-01 00:00:00,,
Cemara Green Hills Sidemen ,0.0,Deluxe Room ,700000,"{'normal': 900000, 'high': 1100000, 'peak': None}",2026-03-01 00:00:00,,
Ayo Hill Villa Sidemen ,0.0,Deluxe Room ,850000,"{'normal': 1050000, 'high': 1250000, 'peak': None}",2026-03-01 00:00:00,,
Unagi Mas Villas by Emana Ubud,0.0,One Bedroom Pool Villa,https://www.dropbox.com/scl/fo/odyj6fy80znw4n7r0y1a9/AK0qfaQYOwcsgUrylCApHKU?rlkey=uvm7tdqndgf4hti65aum9u25r&e=1&st=zatdy0i0&dl=0,"{'normal': 1000000, 'high': None, 'peak': None}",-,,"bookings available until April 30, 2025 , stays until June 30, 2025."
Unagi Mas Villas by Emana Ubud,0.0,Two Bedroom Pool Villa ,,"{'normal': 1500000, 'high': None, 'peak': None}",,,
Unagi Mas Villas by Emana Ubud,0.0,Three Bedroom Pool Villa,,"{'normal': 3200000, 'high': None, 'peak': None}",,,
CROSS BALI BREAKERS RESORT BALANGAN JIMBARAN,0.0,One Bedroom Pool Villa,,"{'normal': 2700000, 'high': 3295000, 'peak': 6215000}","620,000 / 835,000",,30 SEPT 2025 - INDIA MARKET ONLY
CROSS BALI BREAKERS RESORT BALANGAN JIMBARAN,0.0,Two Bedroom Pool Villa ,,"{'normal': 4050000, 'high': 4645000, 'peak': 7565000}",,,
CROSS BALI BREAKERS RESORT BALANGAN JIMBARAN,0.0,One Bedroom Pool Villa,,"{'normal': 2700000, 'high': 3295000, 'peak': 6215000}","620,000 / 835,000",,2026-03-31 00:00:00
CROSS BALI BREAKERS RESORT BALANGAN JIMBARAN,0.0,Two Bedroom Pool Villa ,,"{'normal': 4050000, 'high': 4645000, 'peak': 7565000}",,,
Puri Tempo Doeloe Sanur,0.0,Two Bedroom Pool Villa,https://drive.google.com/drive/folders/1TJ_ym0ahYoR42be3etrIrfBw9y_6e12y?usp=drive_link,"{'normal': 2700000, 'high': 3539000, 'peak': 4084000}",450000,,2026-03-31 00:00:00
Puri Tempo Doeloe Sanur,0.0,Three Bedroom Pool Villa,,"{'normal': 3500000, 'high': 4645000, 'peak': 5359000}",,,
Reillo Villa Canggu,0.0,Three Bedroom Pool Villa,https://drive.google.com/drive/folders/1ukEXMq8_fH6ZLzMp3UILLBAY7HugFBKz?usp=drive_link,"{'normal': 5500000, 'high': 7150000, 'peak': 8250000}",550000,,2026-03-31 00:00:00
Reillo Villa Canggu,0.0,Five Bedroom Pool Villa,,"{'normal': 11000000, 'high': 14300000, 'peak': 17000000}",,,
Reillo Villa Canggu,0.0,Ten Bedroom Pool Villa,,"{'normal': 22000000, 'high': 27500000, 'peak': 33000000}",,,
THE CLUB VILLAS SEMINYAK,0.0,One Bedroom Private Pool Villa,,"{'normal': 2160000, 'high': 2410000, 'peak': 2560000}",300000,,2026-03-31 00:00:00
THE CLUB VILLAS SEMINYAK,0.0,One Bedroom Honeymoon Private Pool Villa,,"{'normal': 2400000, 'high': 2650000, 'peak': 2800000}",,,
THE CLUB VILLAS SEMINYAK,0.0,Two Bedroom Private Pool Villa,,"{'normal': 3000000, 'high': 3250000, 'peak': 3400000}",,,
LEMBONGAN BEACH CLUB & RESORT,0.0,One Bedroom Garden Villa,,"{'normal': 2166000, 'high': 2416000, 'peak': 2566000}",300000,,2026-03-31 00:00:00
LEMBONGAN BEACH CLUB & RESORT,0.0,One Bedroom Private Pool Villa,,"{'normal': 2394000, 'high': 2644000, 'peak': 2794000}",,,
LEMBONGAN BEACH CLUB & RESORT,0.0,One Bedroom Premiere Private Pool Villa,,"{'normal': 2622000, 'high': 2872000, 'peak': 3022000}",,,
LEMBONGAN BEACH CLUB & RESORT,0.0,One Bedroom Grand Premier Private Pool Villa,,"{'normal': 2850000, 'high': 3100000, 'peak': 3250000}",,,
LEMBONGAN BEACH CLUB & RESORT,0.0,Two Bedroom Premier Private Pool Villa,,"{'normal': 4332000, 'high': 4582000, 'peak': 4732000}",,,
KANAKA VILLAS UBUD,0.0,One Bedroom Villa,,"{'normal': 1500000, 'high': 1750000, 'peak': 1900000}",300000,,2026-03-31 00:00:00
KANAKA VILLAS UBUD,0.0,Two Bedroom Private Pool Villa,,"{'normal': 2500000, 'high': 2750000, 'peak': 2900000}",,,
KANAKA VILLAS UBUD,0.0,Three Bedroom Private Pool Villa,,"{'normal': 3500000, 'high': 3750000, 'peak': 3900000}",,,
Candy Villa Ubud,0.0,One Bedroom Private Pool,1331000,"{'normal': 1631000, 'high': 1631000, 'peak': None}",31 March 2026,,
Candy Villa Ubud,0.0,Wooden One Bedroom Private Pool,1485000,"{'normal': 1785000, 'high': 1785000, 'peak': None}",,,
Candy Villa Ubud,0.0,Joglo One Bedroom Private Pool,1650000,"{'normal': 1950000, 'high': 1950000, 'peak': None}",,,
Candy Villa Ubud,0.0,Two Bedroom Private Pool,2365000,"{'normal': 2665000, 'high': 2665000, 'peak': None}",,,
Candy Villa Ubud,0.0,Three Bedroom Private Pool,2882000,"{'normal': 3182000, 'high': 3182000, 'peak': None}",,,
Tri Dewi Residence Ubud,0.0,One Bedroom Triangle,891000,"{'normal': 1091000, 'high': 1091000, 'peak': None}",,,
Tri Dewi Residence Ubud,0.0,Two Bedrooms Private Pool ,1890000,"{'normal': 2090000, 'high': 2090000, 'peak': None}",,,
